Peak class,Chromosome,Start,End,Length,"Enrichment (Input/IP, Log2)",FDR,Peak position,Gene
PeakStop,Chr5,3570726,3570901,175,-4.3109413888,2.51E-33,StopCodon,AT5G11200
PeakStop,Chr5,3625479,3625601,122,-4.0061629284,3.35E-06,3pUTR,AT5G11350
PeakStop,Chr5,3633251,3633351,100,-2.8455986467,1.75E-07,StopCodon,DXPS3
PeakStop,Chr5,3669237,3669451,214,-3.7277727188,4.16E-05,StopCodon,AT5G11480
PeakStop,Chr5,3676101,3676176,75,-3.1082917003,7.51E-09,StopCodon,AT5G11490
PeakStop,Chr5,3678801,3679201,400,-4.7790617132,1.56E-47,StopCodon,AT5G11500
PeakStop,Chr5,3685134,3685276,142,-3.9205439871,5.48E-28,StopCodon,YLS4
PeakStart,Chr5,3708851,3709151,300,-4.2026754211,0.0001351723,StartCodon,AT5G11550
PeakStop,Chr5,3709657,3709801,144,-3.9106777085,0.0001488416,StopCodon,AT5G11560
PeakStop,Chr5,3741551,3741651,100,-3.5022803351,9.38E-25,StopCodon,AT5G11630
PeakStop,Chr5,3743751,3743851,100,-3.1142854055,5.25E-09,StopCodon,AT5G11640
PeakStop,Chr5,3776401,3776551,150,-3.9193135912,1.07E-25,3pUTR,AT5G11710
PeakStop,Chr5,3779951,3780101,150,-3.4642402356,1.31E-06,StopCodon,AT5G11720
PeakStop,Chr5,3790251,3790351,100,-3.5078595201,7.96E-12,StopCodon,AT5G11760
PeakBoth,Chr5,3791025,3791151,126,-3.4444448469,8.09E-08,StopCodon,AT5G11770
PeakBoth,Chr5,3792776,3792926,150,-3.8281374862,1.38E-19,StartCodon,AT5G11770
PeakStop,Chr5,3802576,3802751,175,-3.2142300117,3.01E-21,3pUTR,NDL2
PeakStart,Chr5,3829751,3829901,150,-3.6418090932,9.19E-09,StartCodon,AT5G11880
PeakMid,Chr5,3832151,3832226,75,-2.7094564475,3.24E-13,CDS,AT5G11890
PeakStop,Chr5,3842151,3842251,100,-4.0659218954,2.81E-14,StopCodon,AtcwINV6
PeakStop,Chr5,3856826,3856951,125,-3.1542923038,3.36E-14,StopCodon,AT5G11950
PeakStop,Chr5,3858801,3858976,175,-4.1764105672,9.90E-05,StopCodon,AT5G11960
PeakBoth,Chr5,3868755,3868876,121,-3.7524319342,4.83E-14,StopCodon,AT5G11980
PeakBoth,Chr5,3872020,3872126,106,-3.2774130326,1.27E-06,StartCodon,AT5G11980
PeakBoth,Chr5,3885264,3885401,137,-4.5586623899,2.69E-07,StartCodon,AT5G12040
PeakBoth,Chr5,3887701,3887926,225,-3.5330037037,2.03E-24,StopCodon,AT5G12040
PeakStop,Chr5,3898200,3898266,66,-3.0377716656,0.0002819056,StopCodon,ATMSL10
PeakStop,Chr5,3916174,3916276,102,-4.4251301965,1.62E-09,StopCodon,AT5G12120
PeakBoth,Chr5,3919653,3919776,123,-3.4691977557,1.72E-10,StartCodon,PDE149
PeakBoth,Chr5,3922151,3922301,150,-4.0453582862,5.62E-07,StopCodon,PDE149
PeakStop,Chr5,3923049,3923126,77,-4.0522954725,1.00E-18,3pUTR,CYS1
PeakStop,Chr5,3934876,3934976,100,-3.933144752,9.19E-09,StopCodon,CLT3
PeakStop,Chr5,3949701,3949801,100,-3.9958884532,6.34E-09,3pUTR,AtRGTB1
PeakMid,Chr5,3954374,3954576,202,-3.3548879949,1.11E-32,CDS,MED19A
PeakStop,Chr5,3961186,3961276,90,-2.3018693351,7.71E-08,StopCodon,TUB6
PeakStop,Chr5,3974297,3974426,129,-4.298719834,2.95E-11,StopCodon,DGS1
PeakStop,Chr5,4002966,4003051,85,-3.6639929637,7.27E-15,StopCodon,SEC10
PeakStop,Chr5,4021076,4021326,250,-3.2654782338,0.0005318005,3pUTR,AT5G12400
PeakMid,Chr5,4022901,4023126,225,-2.6895122363,0.0006337002,CDS,AT5G12410
PeakBoth,Chr5,4059783,4059926,143,-3.65511003,6.46E-05,StopCodon,DiT1
PeakBoth,Chr5,4061701,4061926,225,-4.0388779651,1.22E-31,StartCodon,DiT1
PeakStop,Chr5,4105541,4105651,110,-4.3874272729,6.68E-18,StopCodon,AT5G12980
PeakStop,Chr5,4128476,4128701,225,-3.3938492664,2.02E-24,StopCodon,EMB3011
PeakStop,Chr5,4129298,4129576,278,-4.5177227354,0.0005133015,3pUTR,AT5G13020
PeakStop,Chr5,4136401,4136501,100,-3.5567866574,1.44E-05,StopCodon,AT5G13030
PeakStop,Chr5,4149051,4149151,100,-2.8977174729,2.80E-05,StopCodon,AT5G13070
PeakBoth,Chr5,4162583,4162726,143,-4.8230048498,8.79E-51,StopCodon,ATCYP20-2
PeakBoth,Chr5,4164451,4164601,150,-3.6836917358,1.51E-57,StartCodon,ATCYP20-2
PeakStop,Chr5,4179651,4179826,175,-4.1199197355,3.00E-17,StopCodon,PBS1
PeakStop,Chr5,4225050,4225226,176,-4.4055249846,1.61E-05,StopCodon,AT5G13240
PeakStop,Chr5,4246676,4246876,200,-4.4255725419,0.0008349559,StopCodon,AT5G13260
PeakStop,Chr5,4252651,4252851,200,-5.149167798,0.0003269813,StopCodon,AK-LYS1
PeakStop,Chr5,4255671,4255801,130,-4.0743289571,1.58E-07,3pUTR,SFC
PeakStop,Chr5,4278051,4278226,175,-2.5822568414,0.0001519124,StopCodon,AT5G13340
PeakMul,Chr5,4299809,4299926,117,-4.1999330617,0.0005866939,StopCodon,AT5G13410
PeakMul,Chr5,4300517,4300601,84,-3.198093259,6.62E-27,CDS,AT5G13410
PeakStart,Chr5,4304080,4304201,121,-3.9768836609,1.14E-11,StartCodon,AT5G13420
PeakStop,Chr5,4308294,4308426,132,-2.8061182838,6.43E-06,StopCodon,AT5G13440
PeakStop,Chr5,4310447,4310576,129,-5.088570264,4.61E-35,StopCodon,ATP5
PeakStop,Chr5,4318126,4318251,125,-3.4572673802,1.32E-06,StopCodon,IQD11
PeakStop,Chr5,4337476,4337601,125,-4.3219643781,5.25E-05,3pUTR,AAC2
PeakBoth,Chr5,4341263,4341376,113,-4.3011514376,4.79E-24,StartCodon,AT5G13510
PeakBoth,Chr5,4341926,4342176,250,-2.8981512751,2.19E-06,StopCodon,AT5G13510
PeakStop,Chr5,4361513,4361651,138,-5.0793363936,9.93E-20,StopCodon,AT5G13560
PeakStop,Chr5,4387450,4387601,151,-3.3609502477,1.03E-06,StopCodon,CCH1
PeakMul,Chr5,4396926,4397051,125,-3.9609235162,4.46E-05,CDS,ATPDAT
PeakMul,Chr5,4397276,4397426,150,-2.8851934498,6.59E-05,3pUTR,ATPDAT
PeakStop,Chr5,4423855,4424051,196,-4.4622019989,4.28E-20,StopCodon,SMT1
PeakStop,Chr5,4436476,4436576,100,-3.2657512768,1.68E-33,StopCodon,ZIF1
PeakMid,Chr5,4442401,4442576,175,-3.8573691216,0.0001021641,CDS,AT5G13760
PeakStop,Chr5,4447451,4447601,150,-4.3767110462,5.08E-12,StopCodon,AT5G13780
PeakStop,Chr5,4451954,4452051,97,-3.8386516303,4.06E-09,StopCodon,PPH
PeakStop,Chr5,4464326,4464426,100,-3.5242488718,2.64E-08,StopCodon,HPPBF-1
PeakStop,Chr5,4472626,4472776,150,-4.8164266793,9.77E-11,StopCodon,NACA3
PeakStop,Chr5,4514201,4514401,200,-4.160049652,4.38E-18,StopCodon,AT5G13980
PeakStop,Chr5,4528251,4528376,125,-4.6335515848,2.42E-63,StopCodon,AT5G14030
PeakStop,Chr5,4583402,4583551,149,-6.1497663366,6.93E-93,StopCodon,MEE61
PeakStop,Chr5,4604251,4604401,150,-4.6861689656,8.09E-42,3pUTR,AT5G14260
PeakStop,Chr5,4608476,4608701,225,-5.0807177404,9.07E-25,StopCodon,BET9
PeakStop,Chr5,4617734,4617851,117,-2.8349457339,3.72E-28,StopCodon,AT5G14320
PeakStart,Chr5,4633276,4633526,250,-3.6692045999,2.83E-15,StartCodon,AT5G14370
PeakStop,Chr5,4637478,4637626,148,-2.954024574,5.56E-05,StopCodon,AT5G14390
PeakMul,Chr5,4656001,4656076,75,-2.9217972312,0.0003130978,StopCodon,AT5G14440
PeakMul,Chr5,4656776,4657001,225,-2.8365451036,1.10E-14,CDS,AT5G14440
PeakBoth,Chr5,4660077,4660201,124,-3.7211957485,4.65E-06,StopCodon,AT5G14460
PeakBoth,Chr5,4662326,4662426,100,-3.626347188,0.0017866232,StartCodon,AT5G14460
PeakMul,Chr5,4687266,4687376,110,-3.5811449944,8.10E-12,StopCodon,AT5G14540
PeakMul,Chr5,4687801,4688201,400,-3.5474426405,2.04E-17,CDS,AT5G14540
PeakMid,Chr5,4695501,4695601,100,-2.692430776,0.000409659,CDS,ATNRT2.7
PeakMid,Chr5,4695776,4695901,125,-2.876027494,0.0003580727,CDS,ATNRT2.7
PeakStop,Chr5,4703491,4703601,110,-4.4718964673,1.72E-06,StopCodon,AT5G14590
PeakStop,Chr5,4731488,4731626,138,-4.3699960328,3.96E-09,StopCodon,AT5G14680
PeakStop,Chr5,4748110,4748226,116,-3.7242828047,1.86E-05,StopCodon,AT5G14720
PeakStop,Chr5,4762451,4762551,100,-2.4739280174,8.62E-28,3pUTR,CA2
PeakStop,Chr5,4779251,4779376,125,-3.0181932189,4.33E-21,3pUTR,FDH
PeakStop,Chr5,4785401,4785651,250,-3.507359035,3.15E-09,StopCodon,AT5G14790
PeakStop,Chr5,4801976,4802126,150,-3.9356160346,2.93E-11,StopCodon,AT5G14850
PeakStop,Chr5,4825151,4825251,100,-3.0606132081,1.84E-77,StopCodon,AT5G14910
PeakMid,Chr5,4826976,4827276,300,-3.2310306729,4.79E-16,CDS,AT5G14920
PeakBoth,Chr5,4847351,4847476,125,-2.8275308772,4.29E-13,StartCodon,AT5G14970
PeakBoth,Chr5,4848684,4848851,167,-4.504967586,1.10E-15,StopCodon,AT5G14970
PeakStop,Chr5,4889513,4889626,113,-5.1978385268,5.33E-08,StopCodon,ATVDAC3
PeakStop,Chr5,4935006,4935151,145,-4.6501491932,4.53E-31,StopCodon,AT5G15200
PeakStop,Chr5,4961201,4961326,125,-4.3448215891,1.90E-11,3pUTR,AT5G15270
PeakStop,Chr5,4978676,4978826,150,-3.9970894832,1.04E-15,StopCodon,AT5G15320
PeakStart,Chr5,4995326,4995426,100,-3.6910872491,2.83E-08,StartCodon,AT5G15390
PeakStop,Chr5,4997725,4997851,126,-4.1527911008,7.20E-17,StopCodon,AT5G15400
PeakStop,Chr5,5014101,5014201,100,-3.9189253353,2.27E-07,StopCodon,EDL1
PeakStop,Chr5,5144851,5145376,525,-3.9326649894,5.86E-08,StopCodon,AT5G15780
PeakStart,Chr5,5185926,5186076,150,-3.1414883253,1.17E-06,StartCodon,AT5G15880
PeakStop,Chr5,5195126,5195276,150,-3.7527080571,1.56E-06,StopCodon,AT5G15910
PeakStop,Chr5,5240301,5240526,225,-3.7894058229,7.33E-102,StopCodon,AT5G16030
PeakStop,Chr5,5247201,5247326,125,-3.6097469606,1.02E-12,StopCodon,AT5G16060
PeakStop,Chr5,5269926,5270001,75,-3.6577581627,1.27E-38,StopCodon,AT5G16130
PeakStop,Chr5,5270302,5270426,124,-3.9067303433,4.65E-05,StopCodon,AT5G16140
PeakStop,Chr5,5275651,5275826,175,-3.4510533391,3.60E-20,StopCodon,PGLCT
PeakStop,Chr5,5290985,5291076,91,-4.0462309308,1.89E-08,StopCodon,AT5G16210
PeakMid,Chr5,5298926,5299051,125,-2.8516239118,1.61E-15,CDS,AT5G16220
PeakStart,Chr5,5310651,5310751,100,-3.82895929,5.04E-10,StartCodon,AT5G16250
PeakMid,Chr5,5361826,5361976,150,-3.1719792187,3.88E-34,CDS,BCCP
PeakStop,Chr5,5363751,5363901,150,-3.4900263864,2.14E-05,StopCodon,TRXF2
PeakStop,Chr5,5373501,5373676,175,-4.7248243734,7.89E-10,StopCodon,IPP1
PeakStop,Chr5,5404901,5405001,100,-4.6700362441,3.21E-20,StopCodon,ZFN3
PeakStop,Chr5,5406626,5406751,125,-3.1720306519,1.08E-24,StopCodon,AT5G16550
PeakStart,Chr5,5410951,5411051,100,-2.5698232267,0.001324083,StartCodon,KAN
PeakStop,Chr5,5454326,5454526,200,-4.5960764315,1.22E-12,3pUTR,PDE120
PeakStop,Chr5,5459378,5459476,98,-4.8498207764,3.48E-08,StopCodon,ATRAD4
PeakStop,Chr5,5493176,5493351,175,-3.7358598323,1.83E-05,StopCodon,EMB2247
PeakStart,Chr5,5521176,5521451,275,-3.1239654336,0.0001166795,StartCodon,DOT2
PeakStop,Chr5,5538001,5538151,150,-3.1701212542,3.27E-06,StopCodon,BPA1
PeakStop,Chr5,5551301,5551426,125,-3.0257116954,4.31E-06,StopCodon,AT5G16880
PeakStop,Chr5,5576248,5576351,103,-3.0299624655,1.05E-05,StopCodon,AT-AER
PeakStop,Chr5,5581776,5581901,125,-2.7153521418,6.27E-06,StopCodon,AT5G16990
PeakStop,Chr5,5584927,5585026,99,-2.9494306116,4.96E-07,StopCodon,AT5G17000
PeakStart,Chr5,5609287,5609376,89,-5.162020448,2.23E-06,StartCodon,UGT78D2
PeakStop,Chr5,5639976,5640026,50,-2.3244191695,0.0008278321,StopCodon,AT5G17160
PeakBoth,Chr5,5649305,5649426,121,-3.4392318797,1.84E-05,StartCodon,ENH1
PeakBoth,Chr5,5650901,5651026,125,-3.1159631469,2.43E-15,StopCodon,ENH1
PeakStop,Chr5,5659728,5659851,123,-4.0234553816,1.14E-52,StopCodon,PSY
PeakStop,Chr5,5696851,5696926,75,-3.0141219502,0.0002338327,StopCodon,AtUGP2
PeakStop,Chr5,5728869,5728926,57,-3.4863641221,0.0001105155,3pUTR,ER-ANT1
PeakStop,Chr5,5736351,5736451,100,-2.1117021402,0.0008662835,StopCodon,AT5G17410
PeakStop,Chr5,5781801,5781901,100,-3.0281672873,8.68E-11,StopCodon,AT5G17530
PeakStop,Chr5,5781978,5782076,98,-5.6935823781,7.25E-34,StopCodon,AT5G17540
PeakStop,Chr5,5789626,5789726,100,-3.8043264667,0.0001240381,StopCodon,AT5G17560
PeakStart,Chr5,5800851,5801076,225,-4.2324224471,4.21E-06,StartCodon,AT5G17600
PeakStart,Chr5,5809464,5809576,112,-3.6928224794,4.47E-09,StartCodon,AT5G17630
PeakStop,Chr5,5822526,5822651,125,-4.2795145028,2.63E-09,StopCodon,AT5G17670
PeakBoth,Chr5,5839443,5839576,133,-4.2733030815,1.12E-45,StopCodon,EMB1241
PeakBoth,Chr5,5841576,5841676,100,-3.2075736522,6.99E-18,StartCodon,EMB1241
PeakMid,Chr5,5921138,5921276,138,-4.3842744374,2.47E-07,CDS,CHS3
PeakMid,Chr5,5925776,5926051,275,-2.9793998186,1.63E-18,CDS,AT5G17900
PeakStop,Chr5,5939201,5939326,125,-3.5012376426,1.82E-09,StopCodon,ATMETS
PeakStop,Chr5,5959726,5959876,150,-4.2961166854,1.49E-70,StopCodon,PAT1
PeakStop,Chr5,6010057,6010176,119,-4.5871279647,1.10E-08,StopCodon,AT5G18190
PeakStop,Chr5,6090179,6090301,122,-3.5342592669,0.0001238103,StopCodon,AT5G18380
PeakStop,Chr5,6097376,6097526,150,-4.9819310219,1.57E-12,StopCodon,PIR
PeakStop,Chr5,6131253,6131376,123,-4.4054573652,9.49E-07,StopCodon,PGSIP6
PeakMid,Chr5,6145251,6145426,175,-2.9759682587,1.09E-16,CDS,AT5G18520
PeakStop,Chr5,6162876,6163001,125,-3.7071052215,5.12E-12,3pUTR,AT5G18550
PeakStop,Chr5,6178382,6178576,194,-3.5072477561,8.68E-11,StopCodon,AT5G18590
PeakStop,Chr5,6195251,6195351,100,-2.5499645831,4.21E-13,StopCodon,AT5G18610
PeakStop,Chr5,6196085,6196176,91,-3.5997896065,1.15E-08,StopCodon,CHR17
PeakStop,Chr5,6215551,6215676,125,-3.8206005956,4.37E-08,3pUTR,AT5G18640
PeakStop,Chr5,6220789,6220926,137,-3.7515554646,7.39E-10,StopCodon,PCB2
PeakStop,Chr5,6266051,6266126,75,-2.4556520538,0.0024399925,StopCodon,AT5G18780
PeakStop,Chr5,6268351,6268451,100,-4.2411313121,7.57E-07,StopCodon,AT5G18800
PeakStop,Chr5,6344651,6344776,125,-4.1336898538,2.17E-07,StopCodon,ATBPM1
PeakStop,Chr5,6344834,6344951,117,-5.5042774526,5.15E-45,3pUTR,MPK16
PeakStop,Chr5,6357472,6357576,104,-3.7862494927,5.47E-06,StopCodon,AT5G19030
PeakStart,Chr5,6378501,6378626,125,-3.7733143412,5.50E-05,StartCodon,AT5G19080
PeakStop,Chr5,6389651,6389751,100,-3.102859509,6.56E-28,StopCodon,AT5G19090
PeakStop,Chr5,6463876,6464001,125,-3.2035419352,1.05E-27,StopCodon,ADG2
PeakMid,Chr5,6470576,6470676,100,-3.2930564418,0,CDS,AT5G19240
PeakMid,Chr5,6472326,6472501,175,-2.8610696096,2.17E-162,CDS,AT5G19250
PeakStart,Chr5,6494124,6494226,102,-3.0281673403,0.0001933449,StartCodon,AT5G19290
PeakStart,Chr5,6495726,6495826,100,-3.6616209463,8.82E-08,StartCodon,AT5G19300
PeakStop,Chr5,6505251,6505351,100,-3.8606948267,6.64E-07,StopCodon,RANGAP2
PeakStop,Chr5,6521301,6521451,150,-4.3291108816,2.27E-18,StopCodon,AT5G19350
PeakStop,Chr5,6524210,6524326,116,-3.9757774403,0.0015810339,StopCodon,AT5G19370
PeakStop,Chr5,6558076,6558151,75,-2.9227547719,1.26E-07,StopCodon,AT5G19440
PeakStop,Chr5,6565326,6565551,225,-4.7608996312,6.44E-16,3pUTR,atnudt20
PeakMid,Chr5,6572401,6572601,200,-3.6411025768,7.55E-12,CDS,AT5G19480
PeakStop,Chr5,6573679,6573776,97,-4.0334586471,1.21E-07,3pUTR,AT5G19485
PeakStop,Chr5,6581601,6581901,300,-3.8498675073,2.00E-07,StopCodon,AT5G19500
PeakStop,Chr5,6597676,6597801,125,-4.2819219683,4.85E-58,StopCodon,AT5G19540
PeakStart,Chr5,6606876,6607001,125,-4.216849386,5.88E-09,StartCodon,AT5G19570
PeakBoth,Chr5,6610814,6610951,137,-4.4698772539,1.34E-19,3pUTR,AT5G19590
PeakBoth,Chr5,6611851,6612001,150,-3.4135495165,2.52E-17,StartCodon,AT5G19590
PeakStop,Chr5,6628018,6628251,233,-5.0071584563,1.74E-08,StopCodon,AT5G19630
PeakStop,Chr5,6658201,6658401,200,-4.6126404358,3.56E-21,StopCodon,STT3A
PeakStop,Chr5,6679126,6679251,125,-5.0398776087,2.95E-25,StopCodon,AT5G19750
PeakStop,Chr5,6679434,6679551,117,-4.458697739,5.35E-19,StopCodon,AT5G19760
PeakStop,Chr5,6682651,6682776,125,-2.4828680243,1.37E-14,StopCodon,TUA3
PeakStop,Chr5,6688982,6689101,119,-3.443660981,8.77E-10,3pUTR,TUA5
PeakStop,Chr5,6695713,6695776,63,-3.7833943267,1.71E-10,StopCodon,emb2734
PeakStop,Chr5,6709802,6710001,199,-4.6401519864,2.05E-19,StopCodon,AT5G19850
PeakStop,Chr5,6711998,6712126,128,-4.388534491,3.96E-07,StopCodon,AT5G19855
PeakBoth,Chr5,6714254,6714526,272,-4.0220692548,4.19E-06,StopCodon,AT5G19860
PeakBoth,Chr5,6715651,6715826,175,-2.861868952,3.41E-25,StartCodon,AT5G19860
PeakStop,Chr5,6733385,6733501,116,-5.2678595356,2.75E-16,3pUTR,AT5G19920
PeakStop,Chr5,6746126,6746226,100,-3.3516101875,7.48E-05,StopCodon,AT5G19960
PeakStop,Chr5,6764401,6764526,125,-3.0527587559,2.99E-12,StopCodon,RAN2
PeakBoth,Chr5,6779976,6780151,175,-3.1895244443,0.000918795,StartCodon,ATNUDT19
PeakBoth,Chr5,6782276,6782426,150,-3.6417484112,3.05E-08,StopCodon,ATNUDT19
PeakStop,Chr5,6786303,6786551,248,-5.1227051279,2.26E-206,StopCodon,AT5G20080
PeakStop,Chr5,6798894,6799076,182,-4.3972139635,1.37E-07,StopCodon,AT5G20140
PeakStop,Chr5,6805676,6805801,125,-3.5922037814,0.0017866655,StopCodon,AT5G20165
PeakStop,Chr5,6807479,6807676,197,-4.2086267942,1.27E-13,StopCodon,AT5G20170
PeakStop,Chr5,6811901,6812101,200,-3.432846879,3.94E-07,StopCodon,AT5G20180
PeakStop,Chr5,6844835,6845026,191,-4.3677231524,0.0006830911,StopCodon,SPS1F
PeakStop,Chr5,6851579,6851701,122,-4.1555406562,1.64E-136,StopCodon,AT5G20290
PeakBoth,Chr5,6887842,6888001,159,-3.4603771764,3.59E-08,StopCodon,PHT4
PeakBoth,Chr5,6892251,6892351,100,-3.1551895291,1.07E-05,StartCodon,PHT4
PeakStop,Chr5,6926705,6926826,121,-2.5257108591,1.28E-09,3pUTR,XI-17
PeakStop,Chr5,6939676,6939826,150,-3.262196201,4.36E-11,StopCodon,AT5G20500
PeakStop,Chr5,6943351,6943476,125,-3.5119436317,2.47E-06,3pUTR,WAV2
PeakStop,Chr5,6966076,6966201,125,-3.3380580735,2.53E-08,3pUTR,TBL5
PeakMid,Chr5,6990576,6990776,200,-3.8824293423,6.95E-10,CDS,AT5G20660
PeakStop,Chr5,7016301,7016426,125,-4.1367647471,0,StopCodon,CPN10
PeakMul,Chr5,7016603,7016726,123,-4.8722979075,0.0001485724,StopCodon,IAA21
PeakMul,Chr5,7018576,7018676,100,-2.5267196784,4.73E-05,CDS,IAA21
PeakStop,Chr5,7061387,7061476,89,-3.2004237152,2.74E-05,3pUTR,AT5G20840
PeakStop,Chr5,7092600,7092701,101,-4.9320231659,2.85E-14,StopCodon,AIP2
PeakStop,Chr5,7094916,7095001,85,-4.5192143523,7.24E-14,StopCodon,EMB1401
PeakStop,Chr5,7102982,7103101,119,-4.3918091019,0.0012370081,StopCodon,TSL
PeakStop,Chr5,7107432,7107676,244,-4.1716086353,2.03E-45,StopCodon,AT5G20950
PeakStop,Chr5,7138376,7138476,100,-3.1280138933,6.77E-06,StopCodon,BPM5
PeakStop,Chr5,7149063,7149201,138,-4.0040039704,4.76E-07,StopCodon,AT5G21060
PeakStop,Chr5,7166926,7167026,100,-3.5753369387,2.83E-11,StopCodon,AT5G21090
PeakStop,Chr5,7208151,7208351,200,-3.7446879077,0.0001519035,StopCodon,AKINBETA1
PeakStop,Chr5,7214698,7214801,103,-3.5793756336,4.56E-12,StopCodon,CAM6
PeakStop,Chr5,7279951,7280101,150,-4.3668518561,9.25E-26,3pUTR,RHF2A
PeakStop,Chr5,7289964,7290076,112,-4.4140534136,1.96E-12,3pUTR,UBP8
PeakStop,Chr5,7303685,7303776,91,-3.2537813957,1.61E-14,StopCodon,ATJ2
PeakMul,Chr5,7310492,7310701,209,-5.6282963286,3.23E-37,StopCodon,AT5G22080
PeakMul,Chr5,7311277,7311401,124,-4.3207691157,4.13E-271,CDS,AT5G22080
PeakStop,Chr5,7364051,7364151,100,-3.932661324,8.57E-06,StopCodon,E2F1
PeakMid,Chr5,7388476,7388701,225,-3.5936967905,7.41E-09,CDS,AT5G22320
PeakStop,Chr5,7397581,7397776,195,-4.012378399,4.33E-05,StopCodon,ELM1
PeakStop,Chr5,7435219,7435301,82,-3.6749246108,2.65E-05,StopCodon,AT5G22440
PeakMid,Chr5,7437351,7437476,125,-2.466679602,5.52E-07,CDS,AT5G22450
PeakStop,Chr5,7474817,7475001,184,-4.6438487567,2.58E-05,StopCodon,At-A/N-InvE
PeakStop,Chr5,7517709,7517826,117,-4.9792082986,0.0001238103,StopCodon,AT5G22620
PeakMid,Chr5,7532751,7532951,200,-2.8179474469,8.12E-23,CDS,emb1211
PeakStop,Chr5,7536051,7536176,125,-3.3241225156,6.33E-31,StopCodon,ATHD2
PeakStop,Chr5,7579581,7579876,295,-4.6062387849,6.43E-05,StopCodon,alpha-ADR
PeakMul,Chr5,7589884,7590126,242,-5.1128598253,1.00E-16,StopCodon,AT5G22780
PeakMul,Chr5,7592926,7593026,100,-3.2228535024,2.64E-20,CDS,AT5G22780
PeakStop,Chr5,7599211,7599326,115,-5.2402661852,1.72E-20,3pUTR,RER1
PeakStop,Chr5,7631088,7631176,88,-3.0525697054,0.0007417116,StopCodon,AT5G22840
PeakStop,Chr5,7633609,7633726,117,-4.4080367479,2.36E-17,StopCodon,AT5G22850
PeakStop,Chr5,7682676,7682826,150,-3.7260919228,3.37E-08,StopCodon,VPS24.1
PeakStop,Chr5,7729421,7729526,105,-5.392982509,3.99E-167,StopCodon,CDF1
PeakStart,Chr5,7742079,7742176,97,-2.9996941487,3.39E-06,StartCodon,AT5G23070
PeakStop,Chr5,7775401,7775501,100,-3.7180909521,0.0009457166,StopCodon,AT5G23110
PeakBoth,Chr5,7778138,7778276,138,-4.2086044146,3.15E-09,StartCodon,HCF136
PeakBoth,Chr5,7780426,7780576,150,-5.3054087459,2.35E-24,StopCodon,HCF136
PeakStop,Chr5,7832451,7832601,150,-3.0207536943,1.75E-06,StopCodon,AT5G23250
PeakStop,Chr5,7852351,7852501,150,-3.3608745953,8.21E-10,3pUTR,FSD3
PeakStart,Chr5,7903626,7903776,150,-3.1773624553,1.99E-17,StartCodon,FTRA1
PeakStop,Chr5,7904869,7905051,182,-3.72005168,2.43E-06,StopCodon,ATLCBK1
PeakStop,Chr5,7926451,7926576,125,-3.1020711017,0.0014330244,StopCodon,AT5G23490
PeakStop,Chr5,7929176,7929351,175,-3.0175762764,1.64E-22,3pUTR,AT5G23510
PeakStop,Chr5,7939326,7939476,150,-3.4424227211,6.08E-14,StopCodon,AT5G23540
PeakStop,Chr5,7945851,7945976,125,-2.7892140923,6.77E-07,StopCodon,ATSGS3
PeakStop,Chr5,7985101,7985276,175,-3.6683812158,7.63E-07,3pUTR,LCB2
PeakStop,Chr5,8008151,8008226,75,-3.8813944939,2.02E-09,StopCodon,RPS11-BETA
PeakStop,Chr5,8013195,8013351,156,-3.2145221836,2.02E-06,StopCodon,AT5G23760
PeakMid,Chr5,8119601,8119726,125,-2.6745505003,1.22E-09,CDS,SLAH3
PeakStop,Chr5,8130181,8130301,120,-5.5387473468,7.42E-33,StopCodon,AT5G24060
PeakStop,Chr5,8183186,8183276,90,-2.3646208781,8.72E-14,StopCodon,SQE6
PeakStop,Chr5,8270901,8271076,175,-4.0992687246,4.28E-18,StopCodon,SSI1
PeakStop,Chr5,8279076,8279201,125,-3.6936923132,4.32E-54,StopCodon,PDE225
PeakStop,Chr5,8339276,8339401,125,-3.0204576863,0.0011953063,StopCodon,AT5G24430
PeakStop,Chr5,8353076,8353201,125,-4.3283882069,2.42E-44,StopCodon,AT5G24450
PeakStart,Chr5,8354876,8355051,175,-3.5430190855,8.70E-07,StartCodon,AT5G24460
PeakStop,Chr5,8367151,8367351,200,-3.407412126,6.72E-25,StopCodon,AT5G24490
PeakStart,Chr5,8372451,8372676,225,-3.3095373663,2.20E-10,StartCodon,URM23
PeakStop,Chr5,8429051,8429226,175,-2.9873623466,1.42E-07,StopCodon,AT5G24610
PeakStop,Chr5,8438826,8439001,175,-4.8151138799,2.12E-21,StopCodon,AT5G24650
PeakStop,Chr5,8459119,8459226,107,-3.0783530951,4.62E-07,StopCodon,AT5G24710
PeakStop,Chr5,8535418,8535476,58,-3.6349810153,6.01E-08,StopCodon,CRY3
PeakStop,Chr5,8590976,8591151,175,-2.8666585117,3.90E-18,StopCodon,COL4
PeakStop,Chr5,8604374,8604451,77,-4.0703945452,0.0001238149,StopCodon,AT5G24970
PeakStop,Chr5,8634224,8634501,277,-3.0627786544,1.01E-09,StopCodon,AT5G25060
PeakStop,Chr5,8682026,8682126,100,-3.7660026124,6.39E-06,StopCodon,TAF5
PeakBoth,Chr5,8736205,8736526,321,-4.6493137352,1.09E-18,StartCodon,KNAT3
PeakBoth,Chr5,8738126,8738301,175,-3.7209086439,1.39E-29,StopCodon,KNAT3
